MSG	2347944 !V TRIAL_VAR category Random
MSG	2347944 !V IAREA CIRCLE 1 center_screen 1920.0 1080.0 157.0
2347944	 1749.0	  906.0	 1064.0	...
2347945	 1749.0	  906.0	 1063.0	...
2347946	 1748.0	  906.0	 1063.0	...
2347947	 1749.0	  906.0	 1065.0	...
2347948	 1749.0	  908.0	 1066.0	...
2347949	 1751.0	  909.0	 1068.0	...
2347950	 1751.0	  910.0	 1068.0	...
2347951	 1752.0	  910.0	 1068.0	...
2347952	 1752.0	  910.0	 1067.0	...
2347953	 1752.0	  910.0	 1065.0	...
2347954	 1752.0	  909.0	 1064.0	...
2347955	 1751.0	  910.0	 1064.0	...
2347956	 1751.0	  910.0	 1065.0	...
2347957	 1750.0	  910.0	 1065.0	...
2347958	 1750.0	  910.0	 1063.0	...
2347959	 1751.0	  910.0	 1061.0	...
2347960	 1752.0	  911.0	 1060.0	...
2347961	 1752.0	  912.0	 1059.0	...
2347962	 1751.0	  912.0	 1058.0	...
2347963	 1750.0	  911.0	 1058.0	...
2347964	 1750.0	  911.0	 1058.0	...
2347965	 1751.0	  911.0	 1058.0	...
2347966	 1752.0	  912.0	 1058.0	...
2347967	 1752.0	  913.0	 1057.0	...
EFIX R   2347848	2347967	120	 1749.0	  899.0	   1086
MSG	2347968 CUE_ON 87.703 pos=(960.0,540.0)
MSG	2347968 DRIFT_CORRECT_START 87.703 pos=(960.0,540.0)
2347968	 1752.0	  914.0	 1056.0	...
INPUT	2347969	127
END	2347969 	SAMPLES	EVENTS	RES	  98.00	 104.00
INPUT	2348068	127
MSG	2354714 DRIFTCORRECT R RIGHT at 960,540  OFFSET 1.33 deg.  81.6,-110.1 pix.
MSG	2354768 DRIFT_CORRECT_END 94.503 result=PASS error=OK duration=6.800
MSG	2354768 DRIFT_CORRECT_OK
MSG	2356267 STIM_ON 96.002
MSG	2360284 STIM_OFF 100.019
MSG	2360284 ITI_ON 100.019
MSG	2360786 ITI_OFF 100.521
MSG	2360786 TRIAL_END 100.521
MSG	2360786 RECORDING_STOP 100.521
INPUT	2360786	127
MSG	2360840 TRIAL_RESULT OK
MSG	2360843 RECCFG CR 1000 2 1 R
MSG	2360843 ELCLCFG MTABLER
MSG	2360843 GAZE_COORDS 0.00 0.00 3839.00 2159.00
MSG	2360843 THRESHOLDS R 83 225
MSG	2360843 ELCL_WINDOW_SIZES 176 188 0 0
MSG	2360843 CAMERA_LENS_FOCAL_LENGTH 38.00 
MSG	2360843 PUPIL_DATA_TYPE RAW_AUTOSLIP
MSG	2360843 ELCL_PROC CENTROID (3)
MSG	2360843 ELCL_PCR_PARAM 5 3.0
START	2360844 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
INPUT	2360844	127
MSG	2360844 !MODE RECORD CR 1000 2 1 R
2360844	 1720.0	 1130.0	  860.0	...
2360845	 1721.0	 1131.0	  861.0	...
2360846	 1721.0	 1131.0	  862.0	...
2360847	 1721.0	 1131.0	  861.0	...
2360848	 1721.0	 1132.0	  860.0	...
2360849	 1721.0	 1131.0	  859.0	...
2360850	 1721.0	 1131.0	  859.0	...
SFIX R   2360851
2360851	 1721.0	 1130.0	  858.0	...
2360852	 1721.0	 1130.0	  858.0	...
2360853	 1721.0	 1129.0	  858.0	...
2360854	 1720.0	 1129.0	  858.0	...
2360855	 1720.0	 1130.0	  858.0	...
2360856	 1720.0	 1130.0	  858.0	...
2360857	 1721.0	 1130.0	  857.0	...
2360858	 1722.0	 1130.0	  855.0	...
2360859	 1722.0	 1130.0	  854.0	...
2360860	 1722.0	 1130.0	  853.0	...
2360861	 1722.0	 1132.0	  853.0	...
2360862	 1721.0	 1133.0	  853.0	...
2360863	 1721.0	 1135.0	  853.0	...
2360864	 1721.0	 1135.0	  854.0	...
2360865	 1721.0	 1135.0	  855.0	...
2360866	 1720.0	 1135.0	  855.0	...
2360867	 1720.0	 1135.0	  855.0	...
2360868	 1720.0	 1135.0	  855.0	...
2360869	 1720.0	 1135.0	  855.0	...
2360870	 1720.0	 1135.0	  856.0	...
2360871	 1721.0	 1135.0	  856.0	...
2360872	 1721.0	 1136.0	  855.0	...
2360873	 1721.0	 1136.0	  854.0	...
2360874	 1721.0	 1136.0	  853.0	...
2360875	 1720.0	 1136.0	  853.0	...
2360876	 1720.0	 1136.0	  853.0	...
2360877	 1720.0	 1136.0	  852.0	...
2360878	 1720.0	 1136.0	  851.0	...
2360879	 1719.0	 1136.0	  850.0	...
2360880	 1718.0	 1135.0	  849.0	...
2360881	 1719.0	 1134.0	  849.0	...
2360882	 1719.0	 1134.0	  847.0	...
2360883	 1719.0	 1132.0	  845.0	...
2360884	 1719.0	 1130.0	  844.0	...
2360885	 1719.0	 1129.0	  843.0	...
2360886	 1719.0	 1131.0	  843.0	...
2360887	 1719.0	 1132.0	  844.0	...
2360888	 1719.0	 1133.0	  844.0	...
2360889	 1718.0	 1133.0	  844.0	...
2360890	 1717.0	 1134.0	  843.0	...
2360891	 1717.0	 1134.0	  843.0	...
2360892	 1718.0	 1134.0	  844.0	...
2360893	 1719.0	 1134.0	  845.0	...
2360894	 1719.0	 1133.0	  845.0	...
2360895	 1720.0	 1134.0	  844.0	...
2360896	 1720.0	 1134.0	  844.0	...
2360897	 1720.0	 1135.0	  844.0	...
